<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: period_skill_matrix.csv>index,horizon,period,adaptive_atr,atr_model_shrinkage,atr_only,conservative_ensemble,current_model,ratio_ridge,residual_boosted,residual_huber,residual_ridge,spread_asymmetry
0,d1,2023Q3,-0.0003249856316134,0.0421831836667481,0.0,0.0577549669837447,-0.2511642568817667,-0.7325149585819295,0.0539438803476737,0.0237960573505517,-0.2394453372822595,-0.0489856750371349
1,d1,2023Q4,0.0030145951162221,0.0225731988330004,0.0,0.0458211924035306,-0.1730340344099366,-0.6289972693630621,0.0367552100022976,0.0726566459605534,-0.0516226536260409,0.0375463567149962
2,d1,2024Q1,0.0004745773549543,0.0385189461569049,0.0,0.0526613790223047,-0.0968465051346374,-0.6670825302400125,0.0398904431734477,0.0681667600055246,0.0415387197166616,0.0842564760537076
3,d1,2024Q2,0.0038766777084959,0.03609162296657,0.0,0.0731074858158616,-0.0547574891578912,-0.714040397071962,0.0305885861295075,0.0748037378656296,0.0355801833325616,0.0751424355997109
4,d1,2024Q3,0.0066080423189468,0.0229412758743532,0.0,0.0626602849107385,-0.0517757868810659,-0.665699619190764,0.0252390701853977,0.0663214749419507,0.0620450074316674,0.0746027047316947
5,d1,2024Q4,-0.001631027949595,0.0177476423351191,0.0,0.0462844031246775,-0.0880639655664756,-0.6367570416858699,0.0127294337604175,0.050392830517603,-0.0160296582450456,0.0402271731718383
6,d1,2025Q1,0.0053011531096257,0.0256682744482923,0.0,0.0745566096839782,-0.0493299174496608,-0.7628350093734055,0.0227957293238331,0.0727945200294384,0.048723886810816,0.0791259658918326
7,d1,2025Q2,0.0058357762458762,0.0244972383049463,0.0,0.0487771631522512,-0.0128004027088912,-0.4702942336061528,0.0434856253594252,0.0852990495430646,0.0420239606657726,0.0929147027370419
8,d1,2025Q3,0.0003665262836917,0.0291899108927702,0.0,0.0590262466219199,-0.0674188930063568,-0.6759833508512045,0.0273803035732537,0.0435223535307355,0.0068914393515334,0.0535155453276621
9,d1,2025Q4,0.0047488651810471,0.0183353735584999,0.0,0.0571856640897069,-0.0753076171026356,-0.6747314904842936,0.0160778296870861,0.0476174564403073,0.0172317979396571,0.0515800410534271
10,d1,2026Q1,0.0069861721307508,0.0459747623680374,0.0,0.0969811303517228,0.0354641408492187,-0.7525647527422046,0.0384570239298771,0.0765156665277136,0.123277073334878,0.118321227534783
11,w1,2023Q3,-2.631014527576525e-05,0.0440309937892937,0.0,0.0,-0.1701530054243214,-0.4412634012727643,0.060121157803702,0.0417931988862229,-0.1305745209492173,-0.0009519224326404
12,w1,2023Q4,0.0001922291718856,0.0315715313780526,0.0,0.0,-0.1303294766977534,-0.2589135272687048,0.0462157592129871,0.0795753998494493,0.005612657242943,0.0767388057692243
13,w1,2024Q1,0.0008096242891511,0.0400194431719466,0.0,0.0201053693038676,-0.0490776366284764,-0.4192846949432496,0.0231691508445467,0.0920885582784682,0.0702189463549609,0.1007085005790555
14,w1,2024Q2,0.0002729753132236,0.033945042221621,0.0,0.0780168945785532,-0.0477338058626115,-0.4817840510676412,0.0462576517114221,0.0752143728149643,0.0476904234369249,0.0756422494688932
15,w1,2024Q3,0.0005763865481267,0.0258447412949641,0.0,0.0645009870003079,-0.0265171527191516,-0.459169394248264,0.0158728844537482,0.0733247518349361,0.0627212578596494,0.0759021617766294
16,w1,2024Q4,0.0018413476070762,0.0248194558707297,0.0,0.037120740634519,-0.0696132917252081,-0.3859823584532504,0.0139099631046133,0.0444792030504265,-0.0420832250594003,0.0229055596206408
17,w1,2025Q1,-0.0006647030785402,0.0470544115765041,0.0,0.0832294923160608,0.0206948996410901,-0.3977608972689417,0.0139890996561109,0.0905037079576834,0.1026358503855375,0.1060338159226521
18,w1,2025Q2,0.0048997017433243,0.0439501097160185,0.0,0.0849075391334732,-0.0019463268413282,-0.3490427110703424,0.0508454519560219,0.1052499236355042,0.0488992052722538,0.0943954617843024
19,w1,2025Q3,0.0016661628803462,0.0345869476517941,0.0,0.0613397850812059,-0.0541438262925373,-0.4940063837769166,0.0149748798832043,0.0467466364404633,0.0008219051144247,0.065638243454976
20,w1,2025Q4,0.0007054840710087,0.0220188463728694,0.0,0.0552187266196436,-0.0813429725565488,-0.5082124777743338,0.0286580090454907,0.0538869131174287,-0.0361506312807398,0.0268044970004249
21,w1,2026Q1,0.0027934417617837,0.0713699816523173,0.0,0.1050707563871242,0.0649858175421668,-0.5125601972428362,0.0470668604400112,0.0988815279708664,0.1447780266681764,0.1365253711411317
